Beetle_ID,Sex,Species,Light,Temp,Chamber_Num,Location_Name,Date_Btl_Innoc,Time_Exp_Start,Num_Aphids_Before,Num_Aphids_Post,Date_Exp_Comp,Time_Exp_Comp,Notes,Treatment,Bin_Aphids_Remain,Binned_Remain,Trial
1,,C7,24,25,,Guterman56,5/7/2019,1535,30,1,5/8/2019,1525,,4,1,1,1
2,,C7,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
3,,C7,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,eggs,4,0,0,1
4,,C7,24,25,,Guterman56,5/7/2019,1535,30,9,5/8/2019,1525,pred. died,4,1,1,1
5,,C7,24,25,,Guterman56,5/7/2019,1535,30,5,5/8/2019,1525,,4,1,1,1
6,,C7,24,15,,Guterman57,5/7/2019,1625,30,6,5/8/2019,1545,,2,1,1,1
7,,C7,24,15,,Guterman57,5/7/2019,1625,30,0,5/8/2019,1545,eggs,2,0,0,1
8,,C7,24,15,,Guterman57,5/7/2019,1625,30,19,5/8/2019,1545,,2,1,2,1
9,,C7,24,15,,Guterman57,5/7/2019,1625,30,13,5/8/2019,1545,,2,1,2,1
10,,C7,24,15,,Guterman57,5/7/2019,1625,30,5,5/8/2019,1545,,2,1,1,1
11,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
12,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
13,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
14,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
15,,C7,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
16,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
17,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
18,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
19,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,1,5/9/2019,1145,,1,1,1,1
20,,C7,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
21,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,7,5/9/2019,1324,,2,1,1,1
22,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,2,5/9/2019,1324,,2,1,1,1
23,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,0,5/9/2019,1324,,2,0,0,1
24,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,8,5/9/2019,1324,eggs,2,1,1,1
25,,C7,24,15,,ThalerUpper,5/8/2019,1344,30,10,5/9/2019,1324,eggs,2,1,2,1
26,,C7,24,25,,ThalerLower,5/8/2019,1320,30,7,5/9/2019,1324,,4,1,1,1
27,,C7,24,25,,ThalerLower,5/8/2019,1320,30,2,5/9/2019,1324,,4,1,1,1
28,,C7,24,25,,ThalerLower,5/8/2019,1320,30,4,5/9/2019,1324,,4,1,1,1
29,,C7,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,,4,0,0,1
30,,C7,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,,4,0,0,1
31,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,25,5/10/2019,1435,,1,1,3,1
32,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,14,5/10/2019,1435,,1,1,2,1
33,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,18,5/10/2019,1435,,1,1,2,1
34,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,22,5/10/2019,1435,,1,1,3,1
35,,C7,16,15,,ThalerWhiteFar,5/9/2019,1410,30,8,5/10/2019,1435,,1,1,1,1
36,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,13,5/10/2019,1440,,3,1,2,1
37,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,0,5/10/2019,1440,,3,0,0,1
38,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,6,5/10/2019,1440,,3,1,1,1
39,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,1,5/10/2019,1440,,3,1,1,1
40,,C7,16,25,,ThalerWhiteNear,5/9/2019,1445,30,10,5/10/2019,1440,escaped,3,1,2,1
41,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
42,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,0,5/8/2019,1525,,4,0,0,1
43,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,3,5/8/2019,1525,,4,1,1,1
44,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,5,5/8/2019,1525,,4,1,1,1
45,,CMAC,24,25,,Guterman56,5/7/2019,1535,30,10,5/8/2019,1525,,4,1,2,1
46,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,15,5/8/2019,1545,,2,1,2,1
47,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,22,5/8/2019,1545,,2,1,3,1
48,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,16,5/8/2019,1545,,2,1,2,1
49,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,11,5/8/2019,1545,,2,1,2,1
50,,CMAC,24,15,,Guterman57,5/7/2019,1625,30,19,5/8/2019,1545,,2,1,2,1
51,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
52,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
53,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,,3,0,0,1
54,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
55,,CMAC,16,25,,Powers,5/8/2019,1030,30,0,5/9/2019,1039,pred. died,3,0,0,1
56,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,5,5/9/2019,1145,,1,1,1,1
57,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,11,5/9/2019,1145,,1,1,2,1
58,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,0,5/9/2019,1145,,1,0,0,1
59,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,4,5/9/2019,1145,,1,1,1,1
60,,CMAC,16,15,,SparksWalkIn,5/8/2019,1140,30,4,5/9/2019,1145,,1,1,1,1
61,,CMAC,24,15,,ThalerUpper,5/8/2019,1344,30,18,5/9/2019,1324,,2,1,2,1
62,,CMAC,24,15,,ThalerUpper,5/8/2019,1344,30,12,5/9/2019,1324,,2,1,2,1
63,,CMAC,24,15,,ThalerUpper,5/8/2019,1344,30,19,5/9/2019,1324,,2,1,2,1
64,,CMAC,24,15,,ThalerUpper,5/8/2019,1344,30,13,5/9/2019,1324,,2,1,2,1
65,,CMAC,24,15,,ThalerUpper,5/8/2019,1344,30,9,5/9/2019,1324,eggs,2,1,1,1
66,,CMAC,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,,4,0,0,1
67,,CMAC,24,25,,ThalerLower,5/8/2019,1320,30,4,5/9/2019,1324,eggs,4,1,1,1
68,,CMAC,24,25,,ThalerLower,5/8/2019,1320,30,1,5/9/2019,1324,,4,1,1,1
69,,CMAC,24,25,,ThalerLower,5/8/2019,1320,30,0,5/9/2019,1324,eggs,4,0,0,1
70,,CMAC,24,25,,ThalerLower,5/8/2019,1320,30,3,5/9/2019,1324,,4,1,1,1
71,,CMAC,16,15,,ThalerWhiteFar,5/9/2019,1410,30,18,5/10/2019,1435,,1,1,2,1
72,,CMAC,16,15,,ThalerWhiteFar,5/9/2019,1410,30,17,5/10/2019,1435,,1,1,2,1
73,,CMAC,16,15,,ThalerWhiteFar,5/9/2019,1410,30,24,5/10/2019,1435,,1,1,3,1
74,,CMAC,16,15,,ThalerWhiteFar,5/9/2019,1410,30,20,5/10/2019,1435,,1,1,3,1
75,,CMAC,16,15,,ThalerWhiteFar,5/9/2019,1410,30,15,5/10/2019,1435,,1,1,2,1
76,,CMAC,16,25,,ThalerWhiteNear,5/9/2019,1445,30,3,5/10/2019,1440,,3,1,1,1
77,,CMAC,16,25,,ThalerWhiteNear,5/9/2019,1445,30,12,5/10/2019,1440,,3,1,2,1
78,,CMAC,16,25,,ThalerWhiteNear,5/9/2019,1445,30,5,5/10/2019,1440,,3,1,1,1
79,,CMAC,16,25,,ThalerWhiteNear,5/9/2019,1445,30,8,5/10/2019,1440,,3,1,1,1
80,,CMAC,16,25,,ThalerWhiteNear,5/9/2019,1445,30,8,5/10/2019,1440,,3,1,1,1
700,,CMAC,24,25,,Powers,7/17/2019,1715,50,20,7/18/19,1715,stressed/dying,4,1,3,2
f12,F,C7,16,15,,ThalerFar,7/17/2019,1732,50,32,7/18/19,1729,,1,1,4,2
f131,F,C7,24,15,,ThalerLower,7/17/2019,1744,50,37,7/18/19,1744,,2,1,4,2
f155,F,C7,24,15,,SparksUpper,7/17/2019,1721,50,34,7/18/19,1721,,2,1,4,2
f163,F,C7,24,25,,ThalerUpper,7/17/2019,1748,50,26,7/18/19,1748,,4,1,3,2
f190,F,C7,16,25,,ThalerRight,7/17/2019,1803,50,16,7/18/19,1803,eggs,3,1,2,2
f21,F,C7,16,15,,ThalerFar,7/17/2019,1732,50,33,7/18/19,1729,,1,1,4,2
f218,F,C7,24,15,,SparksUpper,7/17/2019,1721,50,31,7/18/19,1721,,2,1,4,2
f225,F,CMAC,16,25,,ThalerLeft,7/17/2019,1756,50,26,7/18/19,1754,,3,1,3,2
f35,F,C7,16,15,,ThalerNear,7/17/2019,1739,50,35,7/18/19,1738,,1,1,4,2
f39,F,C7,16,25,,ThalerRight,7/17/2019,1803,50,27,7/18/19,1803,,3,1,3,2
f45,F,CMAC,24,25,,Powers,7/17/2019,1715,50,37,7/18/19,1715,,4,1,4,2
f502,F,C7,24,15,,ThalerLower,7/17/2019,1744,50,29,7/18/19,1744,,2,1,3,2
f503,F,CMAC,16,25,,ThalerRight,7/17/2019,1803,50,30,7/18/19,1803,,3,1,4,2
f57,F,CMAC,16,25,,ThalerLeft,7/17/2019,1756,50,38,7/18/19,1754,,3,1,4,2
f64,F,CMAC,16,15,,ThalerFar,7/17/2019,1732,50,50,7/18/19,1729,,1,1,5,2
f71,F,CMAC,16,25,,ThalerLeft,7/17/2019,1756,50,31,7/18/19,1754,,3,1,4,2
f73,F,CMAC,16,15,,ThalerFar,7/17/2019,1732,50,44,7/18/19,1729,,1,1,5,2
f74,F,CMAC,24,15,,ThalerLower,7/17/2019,1744,50,41,7/18/19,1744,,2,1,5,2
f75,F,CMAC,24,15,,SparksUpper,7/17/2019,1721,50,37,7/18/19,1721,,2,1,4,2
f76,F,CMAC,24,25,,ThalerUpper,7/17/2019,1748,50,28,7/18/19,1748,eggs,4,1,3,2
f77,F,CMAC,16,15,,ThalerNear,7/17/2019,1739,50,45,7/18/19,1738,handling prey at time of count,1,1,5,2
f78,F,CMAC,24,25,,Powers,7/17/2019,1715,50,27,7/18/19,1715,eggs,4,1,3,2
f9,F,CMAC,16,15,,ThalerNear,7/17/2019,1739,50,39,7/18/19,1738,,1,1,4,2
m104,M,C7,16,15,,ThalerNear,7/17/2019,1739,50,47,7/18/19,1738,,1,1,5,2
m108,M,C7,24,25,,ThalerUpper,7/17/2019,1748,50,25,7/18/19,1748,,4,1,3,2
m113,M,C7,16,25,,ThalerLeft,7/17/2019,1756,50,27,7/18/19,1754,,3,1,3,2
m121,M,C7,16,15,,ThalerFar,7/17/2019,1732,50,45,7/18/19,1729,,1,1,5,2
m123,M,C7,24,15,,ThalerLower,7/17/2019,1744,50,36,7/18/19,1744,,2,1,4,2
m146,M,C7,24,25,,ThalerUpper,7/17/2019,1748,50,19,7/18/19,1748,,4,1,2,2
m151,M,C7,24,25,,Powers,7/17/2019,1715,50,19,7/18/19,1715,,4,1,2,2
m176,M,C7,24,15,,SparksUpper,7/17/2019,1721,50,32,7/18/19,1721,,2,1,4,2
m183,M,C7,24,25,,Powers,7/17/2019,1715,50,31,7/18/19,1715,,4,1,4,2
m195,M,C7,24,25,,Powers,7/17/2019,1715,50,22,7/18/19,1715,,4,1,3,2
m202,M,C7,16,25,,ThalerLeft,7/17/2019,1756,50,28,7/18/19,1754,,3,1,3,2
m205,M,C7,16,25,,ThalerLeft,7/17/2019,1756,50,19,7/18/19,1754,,3,1,2,2
m207,M,C7,16,25,,ThalerRight,7/17/2019,1803,50,30,7/18/19,1803,,3,1,4,2
m26,M,C7,16,15,,ThalerNear,7/17/2019,1739,50,40,7/18/19,1738,,1,1,5,2
m41,M,CMAC,16,25,,ThalerRight,7/17/2019,1803,50,29,7/18/19,1803,,3,1,3,2
m42,F,CMAC,24,25,,ThalerUpper,7/17/2019,1748,50,40,7/18/19,1748,,4,1,5,2
m49,F,CMAC,16,25,,ThalerRight,7/17/2019,1803,50,36,7/18/19,1803,,3,1,4,2
m51,M,CMAC,24,15,,ThalerLower,7/17/2019,1744,50,42,7/18/19,1744,,2,1,5,2
m58,M,CMAC,24,25,,ThalerUpper,7/17/2019,1748,50,31,7/18/19,1748,eggs,4,1,4,2
m60,M,CMAC,24,15,,ThalerLower,7/17/2019,1744,50,38,7/18/19,1744,,2,1,4,2
m62,M,CMAC,24,15,,SparksUpper,7/17/2019,1721,50,39,7/18/19,1721,,2,1,4,2
NA,NA,NA,24,15,,SparksUpper,7/17/2019,1721,NA,NA,7/18/19,1721,,2,NA,NA,2
NA,NA,NA,16,15,,ThalerFar,7/17/2019,1732,NA,NA,7/18/19,1729,,1,NA,NA,2
NA,NA,NA,16,15,,ThalerNear,7/17/2019,1739,NA,NA,7/18/19,1738,,1,NA,NA,2